"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"925","Kamloops","CA","British Columbia","59"," ","5.4","00000","2011","40730","100","11935","29.3","9680","23.8","3510","8.6","820","2","1925","4.7","2170","5.3","10685","26.2"
"925","Kamloops","CA","British Columbia","59"," ","5.4","00000","2016","42855","100","12890","30.1","9575","22.3","3505","8.2","925","2.2","2125","5","2300","5.4","11540","26.9"
"930","Chilliwack","CA","British Columbia","59"," ","5.3","00000","2001","29575","100","8395","28.4","8345","28.2","2795","9.5","540","1.8","1200","4.1","875","3","7425","25.1"
"930","Chilliwack","CA","British Columbia","59"," ","5.3","00000","2006","32890","100","9795","29.8","9185","27.9","2730","8.3","680","2.1","1160","3.5","1055","3.2","8285","25.2"
"930","Chilliwack","CA","British Columbia","59"," ","5.3","00000","2011","36780","100","10770","29.3","9445","25.7","3200","8.7","855","2.3","1695","4.6","1275","3.5","9535","25.9"
"930","Chilliwack","CA","British Columbia","59"," ","5.3","00000","2016","39695","100","11935","30.1","9645","24.3","3315","8.4","1175","3","1925","4.8","1330","3.4","10375","26.1"
"932","Abbotsford - Mission","CMA","British Columbia","59"," ","4.3","00000","2001","51020","100","12450","24.4","16215","31.8","4435","8.7","2425","4.8","2920","5.7","1665","3.3","10915","21.4"
"932","Abbotsford - Mission","CMA","British Columbia","59"," ","4.3","00000","2006","55955","100","13715","24.5","16925","30.2","4520","8.1","3115","5.6","3060","5.5","1860","3.3","12750","22.8"
"932","Abbotsford - Mission","CMA","British Columbia","59"," ","4.3","00000","2011","59315","100","14275","24.1","16800","28.3","4935","8.3","3915","6.6","3585","6","2110","3.6","13700","23.1"
"932","Abbotsford - Mission","CMA","British Columbia","59"," ","4.3","00000","2016","62630","100","15210","24.3","16805","26.8","5160","8.2","4740","7.6","3950","6.3","2255","3.6","14510","23.2"
"933","Vancouver","CMA","British Columbia","59"," ","4.4","00000","2001","758710","100","160325","21.1","217905","28.7","60740","8","33185","4.4","35930","4.7","38570","5.1","212055","27.9"
"933","Vancouver","CMA","British Columbia","59"," ","4.4","00000","2006","817230","100","173650","21.2","236190","28.9","67180","8.2","36730","4.5","35475","4.3","35865","4.4","232135","28.4"
"933","Vancouver","CMA","British Columbia","59"," ","4.4","00000","2011","891335","100","191495","21.5","245010","27.5","73745","8.3","41105","4.6","44135","5","44100","4.9","251745","28.2"
"933","Vancouver","CMA","British Columbia","59"," ","4.4","00000","2016","960890","100","213325","22.2","253205","26.4","79050","8.2","45820","4.8","46980","4.9","47070","4.9","275455","28.7"
"934","Squamish","CA","British Columbia","59"," ","6.2","00100","2001","5210","100","1235","23.7","1745","33.5","460","8.8","210","4","270","5.2","235","4.5","1070","20.5"
"934","Squamish","CA","British Columbia","59"," ","6.2","00100","2006","5720","100","1455","25.4","1635","28.6","525","9.2","270","4.7","285","5","300","5.2","1255","21.9"
"934","Squamish","CA","British Columbia","59"," ","6.2","00100","2011","6625","100","1655","25","1895","28.6","555","8.4","230","3.5","380","5.7","365","5.5","1550","23.4"
"934","Squamish","CA","British Columbia","59"," ","6.2","00100","2016","7375","100","1885","25.6","2200","29.8","550","7.5","265","3.6","485","6.6","380","5.2","1610","21.8"
"935","Victoria","CMA","British Columbia","59"," ","5.0","20000","2001","135600","100","36385","26.8","29935","22.1","11045","8.1","2120","1.6","5175","3.8","7085","5.2","43850","32.3"
"935","Victoria","CMA","British Columbia","59"," ","5.0","20000","2006","145430","100","39490","27.2","31350","21.6","12075","8.3","2570","1.8","4645","3.2","6975","4.8","48325","33.2"
"935","Victoria","CMA","British Columbia","59"," ","5.0","20000","2011","153330","100","42080","27.4","30220","19.7","11640","7.6","2810","1.8","6215","4.1","8955","5.8","51410","33.5"
"935","Victoria","CMA","British Columbia","59"," ","5.0","20000","2016","162715","100","45565","28","31575","19.4","11875","7.3","2985","1.8","7055","4.3","9460","5.8","54200","33.3"
