Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016)
3538,Lambton,County,Ontario,35,4.2,00000,Female,64645,9650,40230,14760,2295,64745,9715,41955,13080,2115,65750,10635,42865,12260,1780,100,14.9,62.2,22.8,3.6,100,15,64.8,20.2,3.3,100,16.2,65.2,18.6,2.7,-0.2,-0.7,-4.1,12.8,8.5,-1.7,-9.3,-6.1,20.4,28.9
3539,Middlesex,County,Ontario,35,3.5,20000,Both sexes,455525,74840,303940,76750,10735,439150,72795,301170,65185,9470,422330,74900,289625,57810,7375,100,16.4,66.7,16.8,2.4,100,16.6,68.6,14.8,2.2,100,17.7,68.6,13.7,1.7,3.7,2.8,0.9,17.7,13.4,7.9,-0.1,4.9,32.8,45.6
3539,Middlesex,County,Ontario,35,3.5,20000,Male,221235,38190,149230,33815,3665,212850,37260,147365,28230,3065,204665,38620,141585,24460,2325,100,17.3,67.5,15.3,1.7,100,17.5,69.2,13.3,1.4,100,18.9,69.2,12,1.1,3.9,2.5,1.3,19.8,19.6,8.1,-1.1,5.4,38.2,57.6
3539,Middlesex,County,Ontario,35,3.5,20000,Female,234290,36645,154715,42935,7070,226300,35540,153805,36955,6405,217675,36285,148035,33350,5045,100,15.6,66,18.3,3,100,15.7,68,16.3,2.8,100,16.7,68,15.3,2.3,3.5,3.1,0.6,16.2,10.4,7.6,1,4.5,28.7,40.1
3540,Huron,County,Ontario,35,5.0,00000,Both sexes,59300,9985,35855,13455,1780,59100,10090,37280,11725,1585,59325,11015,37695,10615,1465,100,16.8,60.5,22.7,3,100,17.1,63.1,19.8,2.7,100,18.6,63.5,17.9,2.5,0.3,-1,-3.8,14.8,12.3,0,-9.4,-4.9,26.8,21.5
3540,Huron,County,Ontario,35,5.0,00000,Male,29355,5100,17885,6370,630,29125,5160,18615,5350,515,29255,5595,18885,4775,470,100,17.4,60.9,21.7,2.1,100,17.7,63.9,18.4,1.8,100,19.1,64.6,16.3,1.6,0.8,-1.2,-3.9,19.1,22.3,0.3,-8.8,-5.3,33.4,34
3540,Huron,County,Ontario,35,5.0,00000,Female,29940,4885,17970,7085,1155,29975,4930,18665,6375,1065,30070,5425,18805,5845,995,100,16.3,60,23.7,3.9,100,16.4,62.3,21.3,3.6,100,18,62.5,19.4,3.3,-0.1,-0.9,-3.7,11.1,8.5,-0.4,-10,-4.4,21.2,16.1
3541,Bruce,County,Ontario,35,6.0,00000,Both sexes,68150,10770,41305,16075,1850,66100,9965,42885,13250,1490,65350,10455,42900,11995,1340,100,15.8,60.6,23.6,2.7,100,15.1,64.9,20,2.3,100,16,65.6,18.4,2.1,3.1,8.1,-3.7,21.3,24.2,4.3,3,-3.7,34,38.1
3541,Bruce,County,Ontario,35,6.0,00000,Male,33625,5430,20565,7630,620,32745,5015,21510,6225,480,32445,5390,21465,5590,450,100,16.1,61.2,22.7,1.8,100,15.3,65.7,19,1.5,100,16.6,66.2,17.2,1.4,2.7,8.3,-4.4,22.6,29.2,3.6,0.7,-4.2,36.5,37.8
3541,Bruce,County,Ontario,35,6.0,00000,Female,34520,5340,20740,8440,1230,33350,4950,21375,7025,1010,32905,5070,21430,6405,890,100,15.5,60.1,24.4,3.6,100,14.8,64.1,21.1,3,100,15.4,65.1,19.5,2.7,3.5,7.9,-3,20.1,21.8,4.9,5.3,-3.2,31.8,38.2
3542,Grey,County,Ontario,35,4.9,00000,Both sexes,93830,13885,57310,22630,2980,92570,13935,59120,19515,2490,92415,15210,59905,17295,2165,100,14.8,61.1,24.1,3.2,100,15.1,63.9,21.1,2.7,100,16.5,64.8,18.7,2.3,1.4,-0.4,-3.1,16,19.7,1.5,-8.7,-4.3,30.8,37.6
3542,Grey,County,Ontario,35,4.9,00000,Male,46095,7100,28350,10645,1140,45420,7260,29145,9010,805,45455,7910,29635,7905,750,100,15.4,61.5,23.1,2.5,100,16,64.2,19.8,1.8,100,17.4,65.2,17.4,1.6,1.5,-2.2,-2.7,18.1,41.6,1.4,-10.2,-4.3,34.7,52
3542,Grey,County,Ontario,35,4.9,00000,Female,47735,6785,28965,11985,1840,47150,6670,29975,10505,1685,46960,7300,30270,9390,1415,100,14.2,60.7,25.1,3.9,100,14.1,63.6,22.3,3.6,100,15.5,64.5,20,3,1.2,1.7,-3.4,14.1,9.2,1.7,-7.1,-4.3,27.6,30
3543,Simcoe,County,Ontario,35,4.0,00000,Both sexes,479650,79100,314330,86220,10395,446060,76345,299860,69855,8430,422205,80295,282865,59045,6510,100,16.5,65.5,18,2.2,100,17.1,67.2,15.7,1.9,100,19,67,14,1.5,7.5,3.6,4.8,23.4,23.3,13.6,-1.5,11.1,46,59.7
3543,Simcoe,County,Ontario,35,4.0,00000,Male,235805,40475,155745,39585,3745,218975,39180,148275,31520,2745,207690,41050,140325,26310,2060,100,17.2,66,16.8,1.6,100,17.9,67.7,14.4,1.3,100,19.8,67.6,12.7,1,7.7,3.3,5,25.6,36.4,13.5,-1.4,11,50.5,81.8
