Geographic code,Geographic name,Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (2001 Counts),Broad Age Groups: 0 to 14 (2001 Counts),Broad Age Groups: 15 to 64 (2001 Counts),Broad Age Groups: 65 years and over (2001 Counts),Broad Age Groups: 85 years and over (2001 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (% Distribution 2001),Broad Age Groups: 0 to 14 (% Distribution 2001) ,Broad Age Groups: 15 to 64 (% Distribution 2001),Broad Age Groups: 65 years and over (% Distribution 2001),Broad Age Groups: 85 years and over (% Distribution 2001),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016),Total (Percent Change 2001 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2001 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2001 to 2016),Broad Age Groups: 65 years and over (Percent Change 2001 to 2016),Broad Age Groups: 85 years and over (Percent Change 2001 to 2016)
35,Ontario,3.7,20000,Female,6889105,1076355,4576750,1236000,194985,6588685,1063265,4480200,1045225,165475,6229580,1076950,4220970,931660,131260,5832990,1088055,3903920,841015,104810,100,15.6,66.4,17.9,2.8,100,16.1,68,15.9,2.5,100,17.3,67.8,15,2.1,100,18.7,66.9,14.4,1.8,4.6,1.2,2.2,18.3,17.8,10.6,-0.1,8.4,32.7,48.5,18.1,-1.1,17.2,47,86
46,Manitoba,4.3,00000,Both sexes,1278365,243825,835580,198965,29210,1208265,231160,804655,172450,26665,1148400,225175,761340,161885,23915,1119585,233715,729450,156420,20975,100,19.1,65.4,15.6,2.3,100,19.1,66.6,14.3,2.2,100,19.6,66.3,14.1,2.1,100,20.9,65.2,14,1.9,5.8,5.5,3.8,15.4,9.5,11.3,8.3,9.8,22.9,22.1,14.2,4.3,14.5,27.2,39.3
46,Manitoba,4.3,00000,Male,631395,125115,417260,89020,9815,594555,118620,400650,75280,8345,563275,115565,378450,69255,7500,549600,119710,363885,66000,6470,100,19.8,66.1,14.1,1.6,100,20,67.4,12.7,1.4,100,20.5,67.2,12.3,1.3,100,21.8,66.2,12,1.2,6.2,5.5,4.1,18.3,17.6,12.1,8.3,10.3,28.5,30.9,14.9,4.5,14.7,34.9,51.7
46,Manitoba,4.3,00000,Female,646970,118705,418320,109945,19395,613715,112540,404005,97170,18320,585125,109605,382885,92630,16410,569985,114005,365570,90415,14505,100,18.3,64.7,17,3,100,18.3,65.8,15.8,3,100,18.7,65.4,15.8,2.8,100,20,64.1,15.9,2.5,5.4,5.5,3.5,13.1,5.9,10.6,8.3,9.3,18.7,18.2,13.5,4.1,14.4,21.6,33.7
47,Saskatchewan,4.8,00000,Both sexes,1098355,215685,712240,170430,26945,1033385,197860,681815,153710,25475,968155,187695,631155,149305,23820,978935,207225,624140,147570,21095,100,19.6,64.8,15.5,2.5,100,19.1,66,14.9,2.5,100,19.4,65.2,15.4,2.5,100,21.2,63.8,15.1,2.2,6.3,9,4.5,10.9,5.8,13.4,14.9,12.8,14.1,13.1,12.2,4.1,14.1,15.5,27.7
47,Saskatchewan,4.8,00000,Male,545785,110405,358115,77265,9390,511555,101010,342245,68300,8440,475240,95965,314210,65065,7660,481750,105820,311795,64140,7030,100,20.2,65.6,14.2,1.7,100,19.7,66.9,13.4,1.6,100,20.2,66.1,13.7,1.6,100,22,64.7,13.3,1.5,6.7,9.3,4.6,13.1,11.3,14.8,15,14,18.8,22.6,13.3,4.3,14.9,20.5,33.6
47,Saskatchewan,4.8,00000,Female,552570,105280,354130,93160,17550,521825,96845,339570,85405,17035,492915,91730,316945,84240,16165,497180,101405,312350,83430,14060,100,19.1,64.1,16.9,3.2,100,18.6,65.1,16.4,3.3,100,18.6,64.3,17.1,3.3,100,20.4,62.8,16.8,2.8,5.9,8.7,4.3,9.1,3,12.1,14.8,11.7,10.6,8.6,11.1,3.8,13.4,11.7,24.8
48,Alberta,4.7,20000,Both sexes,4067175,779155,2787800,500220,63385,3645255,684790,2554745,405725,51485,3290350,631520,2305420,353410,42290,2974805,617590,2048815,308400,32860,100,19.2,68.5,12.3,1.6,100,18.8,70.1,11.1,1.4,100,19.2,70.1,10.7,1.3,100,20.8,68.9,10.4,1.1,11.6,13.8,9.1,23.3,23.1,23.6,23.4,20.9,41.5,49.9,36.7,26.2,36.1,62.2,92.9
48,Alberta,4.7,20000,Male,2039410,399570,1408150,231690,23065,1827815,351085,1292605,184125,17095,1646800,323600,1164670,158535,13760,1486590,316245,1033785,136560,10410,100,19.6,69,11.4,1.1,100,19.2,70.7,10.1,0.9,100,19.7,70.7,9.6,0.8,100,21.3,69.5,9.2,0.7,11.6,13.8,8.9,25.8,34.9,23.8,23.5,20.9,46.1,67.6,37.2,26.3,36.2,69.7,121.6
48,Alberta,4.7,20000,Female,2027765,379580,1379655,268530,40320,1817440,333705,1262135,221600,34390,1643550,307920,1140750,194875,28540,1488220,301355,1015025,171840,22455,100,18.7,68,13.2,2,100,18.4,69.4,12.2,1.9,100,18.7,69.4,11.9,1.7,100,20.2,68.2,11.5,1.5,11.6,13.7,9.3,21.2,17.2,23.4,23.3,20.9,37.8,41.3,36.3,26,35.9,56.3,79.6
