Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Additional province code,Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (2001 Counts),Broad Age Groups: 0 to 14 (2001 Counts),Broad Age Groups: 15 to 64 (2001 Counts),Broad Age Groups: 65 years and over (2001 Counts),Broad Age Groups: 85 years and over (2001 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (% Distribution 2001),Broad Age Groups: 0 to 14 (% Distribution 2001) ,Broad Age Groups: 15 to 64 (% Distribution 2001),Broad Age Groups: 65 years and over (% Distribution 2001),Broad Age Groups: 85 years and over (% Distribution 2001),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016),Total (Percent Change 2001 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2001 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2001 to 2016),Broad Age Groups: 65 years and over (Percent Change 2001 to 2016),Broad Age Groups: 85 years and over (Percent Change 2001 to 2016)
423,Sainte-Marie,CA,Quebec,24, ,3.5,00000,Male,6710,1160,4450,1105,100,6370,1055,4440,870,110,5770,960,4160,650,55,5675,1090,4055,530,30,100,17.3,66.3,16.5,1.5,100,16.6,69.7,13.7,1.7,100,16.6,72.1,11.3,1,100,19.2,71.5,9.3,0.5,5.3,10,0.2,27,-9.1,16.3,20.8,7,70,81.8,18.2,6.4,9.7,108.5,233.3
423,Sainte-Marie,CA,Quebec,24, ,3.5,00000,Female,6850,1175,4275,1400,260,6520,1055,4265,1195,210,5815,985,3985,845,100,5645,1055,3820,765,105,100,17.2,62.4,20.4,3.8,100,16.2,65.4,18.3,3.2,100,16.9,68.5,14.5,1.7,100,18.7,67.7,13.6,1.9,5.1,11.4,0.2,17.2,23.8,17.8,19.3,7.3,65.7,160,21.3,11.4,11.9,83,147.6
428,Saint-Georges,CA,Quebec,24, ,4.5,00000,Both sexes,32510,5490,20665,6365,835,31175,5090,21410,4675,565,29615,4945,21020,3655,410,28125,5040,20090,2995,265,100,16.9,63.6,19.6,2.6,100,16.3,68.7,15,1.8,100,16.7,71,12.3,1.4,100,17.9,71.4,10.6,0.9,4.3,7.9,-3.5,36.1,47.8,9.8,11,-1.7,74.1,103.7,15.6,8.9,2.9,112.5,215.1
428,Saint-Georges,CA,Quebec,24, ,4.5,00000,Male,16125,2845,10435,2845,285,15435,2600,10775,2065,195,14680,2470,10670,1540,125,13940,2595,10145,1200,80,100,17.6,64.7,17.6,1.8,100,16.8,69.8,13.4,1.3,100,16.8,72.7,10.5,0.9,100,18.6,72.8,8.6,0.6,4.5,9.4,-3.2,37.8,46.2,9.8,15.2,-2.2,84.7,128,15.7,9.6,2.9,137.1,256.3
428,Saint-Georges,CA,Quebec,24, ,4.5,00000,Female,16390,2645,10225,3520,545,15740,2485,10640,2615,365,14935,2475,10355,2110,280,14190,2440,9945,1800,190,100,16.1,62.4,21.5,3.3,100,15.8,67.6,16.6,2.3,100,16.6,69.3,14.1,1.9,100,17.2,70.1,12.7,1.3,4.1,6.4,-3.9,34.6,49.3,9.7,6.9,-1.3,66.8,94.6,15.5,8.4,2.8,95.6,186.8
430,Thetford Mines,CA,Quebec,24, ,5.3,00000,Both sexes,28450,3825,16635,7995,1140,28925,3735,18160,7035,950,29050,3770,19115,6165,650,29310,4025,19685,5605,460,100,13.4,58.5,28.1,4,100,12.9,62.8,24.3,3.3,100,13,65.8,21.2,2.2,100,13.7,67.2,19.1,1.6,-1.6,2.4,-8.4,13.6,20,-2.1,1.5,-13,29.7,75.4,-2.9,-5,-15.5,42.6,147.8
430,Thetford Mines,CA,Quebec,24, ,5.3,00000,Male,13805,1975,8385,3450,350,13930,1930,9050,2940,285,13920,1960,9470,2495,190,14065,2075,9745,2240,120,100,14.3,60.7,25,2.5,100,13.9,65,21.1,2,100,14.1,68,17.9,1.4,100,14.8,69.3,15.9,0.9,-0.9,2.3,-7.3,17.3,22.8,-0.8,0.8,-11.5,38.3,84.2,-1.8,-4.8,-14,54,191.7
430,Thetford Mines,CA,Quebec,24, ,5.3,00000,Female,14640,1845,8245,4545,790,15000,1805,9105,4090,670,15135,1810,9650,3675,455,15250,1950,9935,3370,340,100,12.6,56.3,31,5.4,100,12,60.7,27.3,4.5,100,12,63.8,24.3,3,100,12.8,65.1,22.1,2.2,-2.4,2.2,-9.4,11.1,17.9,-3.3,1.9,-14.6,23.7,73.6,-4,-5.4,-17,34.9,132.4
433,Sherbrooke,CMA,Quebec,24, ,4.2,00000,Both sexes,212105,34250,136635,41220,5365,201890,31770,136485,33640,4595,191410,32040,131740,27630,3485,179865,31985,123640,24240,2795,100,16.1,64.4,19.4,2.5,100,15.7,67.6,16.7,2.3,100,16.7,68.8,14.4,1.8,100,17.8,68.7,13.5,1.6,5.1,7.8,0.1,22.5,16.8,10.8,6.9,3.7,49.2,53.9,17.9,7.1,10.5,70,91.9
433,Sherbrooke,CMA,Quebec,24, ,4.2,00000,Male,103660,17710,67845,18105,1615,98160,16365,67510,14285,1295,92355,16385,64725,11245,915,86755,16285,61030,9440,715,100,17.1,65.4,17.5,1.6,100,16.7,68.8,14.6,1.3,100,17.7,70.1,12.2,1,100,18.8,70.3,10.9,0.8,5.6,8.2,0.5,26.7,24.7,12.2,8.1,4.8,61,76.5,19.5,8.8,11.2,91.8,125.9
433,Sherbrooke,CMA,Quebec,24, ,4.2,00000,Female,108440,16540,68790,23115,3750,103725,15405,68970,19350,3300,99050,15655,67015,16390,2570,93110,15700,62610,14800,2080,100,15.3,63.4,21.3,3.5,100,14.9,66.5,18.7,3.2,100,15.8,67.7,16.5,2.6,100,16.9,67.2,15.9,2.2,4.5,7.4,-0.3,19.5,13.6,9.5,5.7,2.6,41,45.9,16.5,5.4,9.9,56.2,80.3
437,Cowansville,CA,Quebec,24, ,6.2,00000,Both sexes,13655,2060,8540,3060,410,12490,1895,8135,2455,360,12180,1870,8180,2125,305,12035,2155,8060,1815,225,100,15.1,62.5,22.4,3,100,15.2,65.1,19.7,2.9,100,15.4,67.2,17.4,2.5,100,17.9,67,15.1,1.9,9.3,8.7,5,24.6,13.9,12.1,10.2,4.4,44,34.4,13.5,-4.4,6,68.6,82.2
437,Cowansville,CA,Quebec,24, ,6.2,00000,Male,6930,1080,4505,1340,125,6145,970,4135,1035,85,6035,990,4205,840,90,5985,1130,4170,685,60,100,15.6,65,19.3,1.8,100,15.8,67.3,16.8,1.4,100,16.4,69.7,13.9,1.5,100,18.9,69.7,11.4,1,12.8,11.3,8.9,29.5,47.1,14.8,9.1,7.1,59.5,38.9,15.8,-4.4,8,95.6,108.3
437,Cowansville,CA,Quebec,24, ,6.2,00000,Female,6730,975,4030,1720,280,6345,925,4005,1420,275,6150,885,3975,1285,220,6050,1030,3890,1130,170,100,14.5,59.9,25.6,4.2,100,14.6,63.1,22.4,4.3,100,14.4,64.6,20.9,3.6,100,17,64.3,18.7,2.8,6.1,5.4,0.6,21.1,1.8,9.4,10.2,1.4,33.9,27.3,11.2,-5.3,3.6,52.2,64.7
440,Victoriaville,CA,Quebec,24, ,4.9,00000,Both sexes,49150,7880,30090,11180,1545,46355,7445,30110,8800,1215,43195,7210,28990,6995,875,41250,7205,28015,6030,695,100,16,61.2,22.7,3.1,100,16.1,65,19,2.6,100,16.7,67.1,16.2,2,100,17.5,67.9,14.6,1.7,6,5.8,-0.1,27,27.2,13.8,9.3,3.8,59.8,76.6,19.2,9.4,7.4,85.4,122.3
440,Victoriaville,CA,Quebec,24, ,4.9,00000,Male,23780,4025,14895,4860,500,22385,3845,14835,3700,345,20680,3665,14160,2855,240,19865,3715,13800,2345,175,100,16.9,62.6,20.4,2.1,100,17.2,66.3,16.5,1.5,100,17.7,68.5,13.8,1.2,100,18.7,69.5,11.8,0.9,6.2,4.7,0.4,31.4,44.9,15,9.8,5.2,70.2,108.3,19.7,8.3,7.9,107.2,185.7
440,Victoriaville,CA,Quebec,24, ,4.9,00000,Female,25370,3850,15205,6315,1040,23975,3595,15270,5105,870,22520,3545,14830,4140,635,21390,3490,14215,3680,520,100,15.2,59.9,24.9,4.1,100,15,63.7,21.3,3.6,100,15.7,65.9,18.4,2.8,100,16.3,66.5,17.2,2.4,5.8,7.1,-0.4,23.7,19.5,12.7,8.6,2.5,52.5,63.8,18.6,10.3,7,71.6,100
442,Trois-Rivières,CMA,Quebec,24, ,4.3,00000,Both sexes,156045,22310,98950,34780,4805,151775,20720,101660,29390,3905,144840,21420,98965,24460,2840,140745,22735,96495,21515,2290,100,14.3,63.4,22.3,3.1,100,13.7,67,19.4,2.6,100,14.8,68.3,16.9,2,100,16.2,68.6,15.3,1.6,2.8,7.7,-2.7,18.3,23,7.7,4.2,0,42.2,69.2,10.9,-1.9,2.5,61.7,109.8
442,Trois-Rivières,CMA,Quebec,24, ,4.3,00000,Male,75695,11580,48890,15220,1485,73535,10650,50570,12320,1065,69450,10895,48780,9775,735,67375,11630,47340,8400,590,100,15.3,64.6,20.1,2,100,14.5,68.8,16.8,1.4,100,15.7,70.2,14.1,1.1,100,17.3,70.3,12.5,0.9,2.9,8.7,-3.3,23.5,39.4,9,6.3,0.2,55.7,102,12.3,-0.4,3.3,81.2,151.7
442,Trois-Rivières,CMA,Quebec,24, ,4.3,00000,Female,80350,10725,50065,19560,3320,78240,10065,51095,17075,2840,75390,10520,50185,14685,2100,73375,11105,49155,13115,1705,100,13.3,62.3,24.3,4.1,100,12.9,65.3,21.8,3.6,100,14,66.6,19.5,2.8,100,15.1,67,17.9,2.3,2.7,6.6,-2,14.6,16.9,6.6,1.9,-0.2,33.2,58.1,9.5,-3.4,1.9,49.1,94.7
444,Shawinigan,CA,Quebec,24, ,3.9,00000,Both sexes,54180,6850,33040,14290,2240,54525,6515,35310,12700,1855,56035,7310,37005,11725,1460,56035,8135,36905,10990,1060,100,12.6,61,26.4,4.1,100,11.9,64.8,23.3,3.4,100,13,66,20.9,2.6,100,14.5,65.9,19.6,1.9,-0.6,5.1,-6.4,12.5,20.8,-3.3,-6.3,-10.7,21.9,53.4,-3.3,-15.8,-10.5,30,111.3
444,Shawinigan,CA,Quebec,24, ,3.9,00000,Male,26305,3510,16540,6250,710,26170,3325,17585,5260,505,26685,3730,18375,4575,370,26605,4220,18155,4225,275,100,13.3,62.9,23.8,2.7,100,12.7,67.2,20.1,1.9,100,14,68.9,17.1,1.4,100,15.9,68.2,15.9,1,0.5,5.6,-5.9,18.8,40.6,-1.4,-5.9,-10,36.6,91.9,-1.1,-16.8,-8.9,47.9,158.2
444,Shawinigan,CA,Quebec,24, ,3.9,00000,Female,27875,3335,16500,8040,1530,28350,3185,17725,7440,1345,29350,3575,18625,7150,1095,29425,3915,18755,6760,780,100,12,59.2,28.8,5.5,100,11.2,62.5,26.2,4.7,100,12.2,63.5,24.4,3.7,100,13.3,63.7,23,2.7,-1.7,4.7,-6.9,8.1,13.8,-5,-6.7,-11.4,12.4,39.7,-5.3,-14.8,-12,18.9,96.2
447,Drummondville,CA,Quebec,24, ,4.5,00000,Both sexes,96115,16270,61395,18455,2210,91225,15215,60890,15120,2080,85650,14715,58750,12190,1510,80425,14660,55345,10425,1145,100,16.9,63.9,19.2,2.3,100,16.7,66.7,16.6,2.3,100,17.2,68.6,14.2,1.8,100,18.2,68.8,13,1.4,5.4,6.9,0.8,22.1,6.3,12.2,10.6,4.5,51.4,46.4,19.5,11,10.9,77,93
447,Drummondville,CA,Quebec,24, ,4.5,00000,Male,47730,8380,31060,8290,720,45060,7840,30750,6475,600,42140,7555,29625,4960,420,39685,7495,27985,4205,320,100,17.6,65.1,17.4,1.5,100,17.4,68.2,14.4,1.3,100,17.9,70.3,11.8,1,100,18.9,70.5,10.6,0.8,5.9,6.9,1,28,20,13.3,10.9,4.8,67.1,71.4,20.3,11.8,11,97.1,125
447,Drummondville,CA,Quebec,24, ,4.5,00000,Female,48390,7890,30335,10160,1490,46160,7375,30140,8645,1480,43505,7155,29125,7225,1090,40745,7165,27360,6220,825,100,16.3,62.7,21,3.1,100,16,65.3,18.7,3.2,100,16.4,66.9,16.6,2.5,100,17.6,67.1,15.3,2,4.8,7,0.6,17.5,0.7,11.2,10.3,4.2,40.6,36.7,18.8,10.1,10.9,63.3,80.6
450,Granby,CA,Quebec,24, ,4.0,00000,Both sexes,85055,13960,53780,17315,2035,80865,13165,54330,13370,1500,74775,12575,51555,10640,1125,69455,12620,48015,8825,905,100,16.4,63.2,20.4,2.4,100,16.3,67.2,16.5,1.9,100,16.8,68.9,14.2,1.5,100,18.2,69.1,12.7,1.3,5.2,6,-1,29.5,35.7,13.7,11,4.3,62.7,80.9,22.5,10.6,12,96.2,124.9
450,Granby,CA,Quebec,24, ,4.0,00000,Male,41815,7155,26855,7805,685,39675,6750,27055,5865,485,36535,6410,25610,4510,335,33975,6420,23920,3630,260,100,17.1,64.2,18.7,1.6,100,17,68.2,14.8,1.2,100,17.5,70.1,12.3,0.9,100,18.9,70.4,10.7,0.8,5.4,6,-0.7,33.1,41.2,14.5,11.6,4.9,73.1,104.5,23.1,11.4,12.3,115,163.5
450,Granby,CA,Quebec,24, ,4.0,00000,Female,43240,6805,26925,9510,1355,41190,6415,27270,7505,1015,38240,6165,25945,6135,790,35485,6200,24095,5195,650,100,15.7,62.3,22,3.1,100,15.6,66.2,18.2,2.5,100,16.1,67.8,16,2.1,100,17.5,67.9,14.6,1.8,5,6.1,-1.3,26.7,33.5,13.1,10.4,3.8,55,71.5,21.9,9.8,11.7,83.1,108.5
452,Saint-Hyacinthe,CA,Quebec,24, ,5.2,00000,Both sexes,59615,8765,37165,13680,2220,56795,7915,37575,11305,1730,54975,7985,37170,9825,1450,53745,8535,36310,8900,1215,100,14.7,62.3,22.9,3.7,100,13.9,66.2,19.9,3,100,14.5,67.6,17.9,2.6,100,15.9,67.6,16.6,2.3,5,10.7,-1.1,21,28.3,8.4,9.8,0,39.2,53.1,10.9,2.7,2.4,53.7,82.7
452,Saint-Hyacinthe,CA,Quebec,24, ,5.2,00000,Male,28445,4465,18390,5590,625,27080,4030,18615,4435,450,26065,4060,18270,3740,320,25465,4345,17845,3270,275,100,15.7,64.7,19.7,2.2,100,14.9,68.7,16.4,1.7,100,15.6,70.1,14.3,1.2,100,17.1,70.1,12.8,1.1,5,10.8,-1.2,26,38.9,9.1,10,0.7,49.5,95.3,11.7,2.8,3.1,70.9,127.3
452,Saint-Hyacinthe,CA,Quebec,24, ,5.2,00000,Female,31170,4305,18780,8090,1600,29715,3885,18960,6870,1280,28910,3920,18900,6095,1130,28280,4185,18460,5625,940,100,13.8,60.3,26,5.1,100,13.1,63.8,23.1,4.3,100,13.6,65.4,21.1,3.9,100,14.8,65.3,19.9,3.3,4.9,10.8,-0.9,17.8,25,7.8,9.8,-0.6,32.7,41.6,10.2,2.9,1.7,43.8,70.2
454,Sorel-Tracy,CA,Quebec,24, ,4.1,00000,Both sexes,41630,5190,25340,11100,1445,41520,4970,27405,9145,1025,40915,5215,28065,7635,835,40955,5620,28620,6715,590,100,12.5,60.9,26.7,3.5,100,12,66,22,2.5,100,12.7,68.6,18.7,2,100,13.7,69.9,16.4,1.4,0.3,4.4,-7.5,21.4,41,1.7,-0.5,-9.7,45.4,73.1,1.6,-7.7,-11.5,65.3,144.9
454,Sorel-Tracy,CA,Quebec,24, ,4.1,00000,Male,20335,2695,12685,4955,425,20170,2500,13650,4020,280,19805,2645,13980,3185,215,19820,2775,14340,2705,165,100,13.3,62.4,24.4,2.1,100,12.4,67.7,19.9,1.4,100,13.4,70.6,16.1,1.1,100,14,72.4,13.6,0.8,0.8,7.8,-7.1,23.3,51.8,2.7,1.9,-9.3,55.6,97.7,2.6,-2.9,-11.5,83.2,157.6
454,Sorel-Tracy,CA,Quebec,24, ,4.1,00000,Female,21290,2490,12655,6145,1015,21350,2470,13755,5125,745,21110,2570,14090,4455,620,21135,2840,14275,4015,430,100,11.7,59.4,28.9,4.8,100,11.6,64.4,24,3.5,100,12.2,66.7,21.1,2.9,100,13.4,67.5,19,2,-0.3,0.8,-8,19.9,36.2,0.9,-3.1,-10.2,37.9,63.7,0.7,-12.3,-11.3,53.1,136
456,Joliette,CA,Quebec,24, ,5.3,00000,Both sexes,49440,7025,30245,12165,1785,46930,6490,30595,9845,1470,43310,6320,29005,7980,1055,39435,6280,26670,6485,725,100,14.2,61.2,24.6,3.6,100,13.8,65.2,21,3.1,100,14.6,67,18.4,2.4,100,15.9,67.6,16.4,1.8,5.3,8.2,-1.1,23.6,21.4,14.2,11.2,4.3,52.4,69.2,25.4,11.9,13.4,87.6,146.2
456,Joliette,CA,Quebec,24, ,5.3,00000,Male,23295,3520,14660,5105,555,22055,3285,14780,3985,395,20195,3255,13840,3100,290,18605,3280,12795,2525,200,100,15.1,62.9,21.9,2.4,100,14.9,67,18.1,1.8,100,16.1,68.5,15.4,1.4,100,17.6,68.8,13.6,1.1,5.6,7.2,-0.8,28.1,40.5,15.4,8.1,5.9,64.7,91.4,25.2,7.3,14.6,102.2,177.5
456,Joliette,CA,Quebec,24, ,5.3,00000,Female,26145,3505,15585,7060,1225,24880,3205,15815,5860,1075,23115,3065,15165,4885,765,20830,3000,13875,3955,525,100,13.4,59.6,27,4.7,100,12.9,63.6,23.6,4.3,100,13.3,65.6,21.1,3.3,100,14.4,66.6,19,2.5,5.1,9.4,-1.5,20.5,14,13.1,14.4,2.8,44.5,60.1,25.5,16.8,12.3,78.5,133.3
462,Montréal,CMA,Quebec,24, ,3.3,20000,Both sexes,4098925,691350,2735890,671690,90725,3934075,651180,2707630,575275,72440,3737225,639985,2588290,508950,57100,3542975,642310,2444405,456265,45860,100,16.9,66.7,16.4,2.2,100,16.6,68.8,14.6,1.8,100,17.1,69.3,13.6,1.5,100,18.1,69,12.9,1.3,4.2,6.2,1,16.8,25.2,9.7,8,5.7,32,58.9,15.7,7.6,11.9,47.2,97.8
462,Montréal,CMA,Quebec,24, ,3.3,20000,Male,2000935,353270,1356315,291345,29665,1915715,331915,1340045,243755,21485,1813290,326570,1276395,210325,15975,1715280,327670,1203595,184005,12070,100,17.7,67.8,14.6,1.5,100,17.3,70,12.7,1.1,100,18,70.4,11.6,0.9,100,19.1,70.2,10.7,0.7,4.4,6.4,1.2,19.5,38.1,10.3,8.2,6.3,38.5,85.7,16.7,7.8,12.7,58.3,145.8
462,Montréal,CMA,Quebec,24, ,3.3,20000,Female,2097995,338075,1379570,380345,61060,2018360,319265,1367580,331515,50950,1923930,313415,1311895,298620,41125,1827695,314640,1240805,272255,33795,100,16.1,65.8,18.1,2.9,100,15.8,67.8,16.4,2.5,100,16.3,68.2,15.5,2.1,100,17.2,67.9,14.9,1.8,3.9,5.9,0.9,14.7,19.8,9,7.9,5.2,27.4,48.5,14.8,7.4,11.2,39.7,80.7
465,Salaberry-de-Valleyfield,CA,Quebec,24, ,5.0,00000,Both sexes,40745,5515,25550,9680,1405,40075,5180,26465,8435,1180,39670,5735,26775,7160,940,39030,6350,26240,6440,710,100,13.5,62.7,23.8,3.4,100,12.9,66,21,2.9,100,14.5,67.5,18,2.4,100,16.3,67.2,16.5,1.8,1.7,6.5,-3.5,14.8,19.1,2.7,-3.8,-4.6,35.2,49.5,4.4,-13.1,-2.6,50.3,97.9
465,Salaberry-de-Valleyfield,CA,Quebec,24, ,5.0,00000,Male,19770,2870,12675,4230,485,19240,2680,13080,3480,340,18955,2940,13180,2840,245,18705,3310,12905,2490,175,100,14.5,64.1,21.4,2.5,100,13.9,68,18.1,1.8,100,15.5,69.5,15,1.3,100,17.7,69,13.3,0.9,2.8,7.1,-3.1,21.6,42.6,4.3,-2.4,-3.8,48.9,98,5.7,-13.3,-1.8,69.9,177.1
465,Salaberry-de-Valleyfield,CA,Quebec,24, ,5.0,00000,Female,20970,2640,12880,5455,920,20835,2505,13380,4955,840,20715,2795,13595,4325,690,20320,3040,13330,3945,540,100,12.6,61.4,26,4.4,100,12,64.2,23.8,4,100,13.5,65.6,20.9,3.3,100,15,65.6,19.4,2.7,0.6,5.4,-3.7,10.1,9.5,1.2,-5.5,-5.3,26.1,33.3,3.2,-13.2,-3.4,38.3,70.4
468,Lachute,CA,Quebec,24, ,4.5,00000,Both sexes,12860,1785,7970,3105,480,12550,1740,8165,2645,380,11835,1750,7870,2210,270,11630,1905,7590,2135,280,100,13.9,62,24.1,3.7,100,13.9,65.1,21.1,3,100,14.8,66.5,18.7,2.3,100,16.4,65.3,18.4,2.4,2.5,2.6,-2.4,17.4,26.3,8.7,2,1.3,40.5,77.8,10.6,-6.3,5,45.4,71.4
468,Lachute,CA,Quebec,24, ,4.5,00000,Male,6225,960,3950,1315,135,6025,900,4035,1095,110,5660,890,3860,910,70,5520,960,3735,830,85,100,15.4,63.5,21.1,2.2,100,14.9,67,18.2,1.8,100,15.7,68.2,16.1,1.2,100,17.4,67.7,15,1.5,3.3,6.7,-2.1,20.1,22.7,10,7.9,2.3,44.5,92.9,12.8,0,5.8,58.4,58.8
468,Lachute,CA,Quebec,24, ,4.5,00000,Female,6635,825,4020,1790,340,6525,845,4130,1550,265,6170,860,4005,1305,205,6105,945,3850,1305,190,100,12.4,60.6,27,5.1,100,13,63.3,23.8,4.1,100,13.9,64.9,21.2,3.3,100,15.5,63.1,21.4,3.1,1.7,-2.4,-2.7,15.5,28.3,7.5,-4.1,0.4,37.2,65.9,8.7,-12.7,4.4,37.2,78.9
480,Val-d'Or,CA,Quebec,24, ,4.7,00000,Both sexes,33870,6000,22485,5390,540,33265,5850,23045,4375,420,32290,5965,22520,3805,330,32420,6605,22550,3275,230,100,17.7,66.4,15.9,1.6,100,17.6,69.3,13.2,1.3,100,18.5,69.7,11.8,1,100,20.4,69.6,10.1,0.7,1.8,2.6,-2.4,23.2,28.6,4.9,0.6,-0.2,41.7,63.6,4.5,-9.2,-0.3,64.6,134.8
480,Val-d'Or,CA,Quebec,24, ,4.7,00000,Male,17090,3105,11480,2510,190,16825,3080,11765,1985,130,16105,3095,11340,1670,90,16180,3370,11380,1430,85,100,18.2,67.2,14.7,1.1,100,18.3,69.9,11.8,0.8,100,19.2,70.4,10.4,0.6,100,20.8,70.3,8.8,0.5,1.6,0.8,-2.4,26.4,46.2,6.1,0.3,1.2,50.3,111.1,5.6,-7.9,0.9,75.5,123.5
480,Val-d'Or,CA,Quebec,24, ,4.7,00000,Female,16775,2895,11005,2880,350,16440,2765,11280,2385,290,16185,2870,11175,2135,240,16240,3230,11170,1840,155,100,17.3,65.6,17.2,2.1,100,16.8,68.6,14.5,1.8,100,17.7,69,13.2,1.5,100,19.9,68.8,11.3,1,2,4.7,-2.4,20.8,20.7,3.6,0.9,-1.5,34.9,45.8,3.3,-10.4,-1.5,56.5,125.8
485,Rouyn-Noranda,CA,Quebec,24, ,4.2,00000,Both sexes,42335,7045,28045,7245,880,41010,6635,28300,6080,695,39925,6955,27785,5180,445,39620,7715,27375,4540,355,100,16.6,66.2,17.1,2.1,100,16.2,69,14.8,1.7,100,17.4,69.6,13,1.1,100,19.5,69.1,11.5,0.9,3.2,6.2,-0.9,19.2,26.6,6,1.3,0.9,39.9,97.8,6.9,-8.7,2.4,59.6,147.9
485,Rouyn-Noranda,CA,Quebec,24, ,4.2,00000,Male,21165,3615,14260,3300,305,20430,3365,14340,2720,245,19695,3530,13955,2210,135,19510,3875,13660,1985,120,100,17.1,67.4,15.6,1.4,100,16.5,70.2,13.3,1.2,100,17.9,70.9,11.2,0.7,100,19.9,70,10.2,0.6,3.6,7.4,-0.6,21.3,24.5,7.5,2.4,2.2,49.3,125.9,8.5,-6.7,4.4,66.2,154.2
485,Rouyn-Noranda,CA,Quebec,24, ,4.2,00000,Female,21165,3435,13790,3945,580,20580,3265,13960,3355,445,20225,3425,13830,2970,310,20110,3840,13715,2555,235,100,16.2,65.2,18.6,2.7,100,15.9,67.8,16.3,2.2,100,16.9,68.4,14.7,1.5,100,19.1,68.2,12.7,1.2,2.8,5.2,-1.2,17.6,30.3,4.6,0.3,-0.3,32.8,87.1,5.2,-10.5,0.5,54.4,146.8
501,Cornwall,CA,Ontario,35, ,4.0,00000,Both sexes,59700,9315,36990,13395,1910,58960,9155,38465,11340,1595,58485,10140,38065,10280,1330,57585,10985,37160,9440,1075,100,15.6,62,22.4,3.2,100,15.5,65.2,19.2,2.7,100,17.3,65.1,17.6,2.3,100,19.1,64.5,16.4,1.9,1.3,1.7,-3.8,18.1,19.7,2.1,-8.1,-2.8,30.3,43.6,3.7,-15.2,-0.5,41.9,77.7
501,Cornwall,CA,Ontario,35, ,4.0,00000,Male,28895,4755,18145,5995,620,28370,4650,18760,4960,475,28090,5230,18570,4290,385,27680,5610,18255,3815,275,100,16.5,62.8,20.7,2.1,100,16.4,66.1,17.5,1.7,100,18.6,66.1,15.3,1.4,100,20.3,66,13.8,1,1.9,2.3,-3.3,20.9,30.5,2.9,-9.1,-2.3,39.7,61,4.4,-15.2,-0.6,57.1,125.5
501,Cornwall,CA,Ontario,35, ,4.0,00000,Female,30805,4560,18845,7400,1285,30590,4505,19710,6375,1115,30395,4905,19495,5995,940,29905,5375,18905,5620,800,100,14.8,61.2,24,4.2,100,14.7,64.4,20.8,3.6,100,16.1,64.1,19.7,3.1,100,18,63.2,18.8,2.7,0.7,1.2,-4.4,16.1,15.2,1.3,-7,-3.3,23.4,36.7,3,-15.2,-0.3,31.7,60.6
502,Hawkesbury,CA,Ontario / Quebec,35,24,4.5,00000,Both sexes,11975,1595,7250,3130,410,12125,1635,7745,2750,375,12265,1880,7880,2505,365,11600,1945,7610,2055,200,100,13.3,60.5,26.1,3.4,100,13.5,63.9,22.7,3.1,100,15.3,64.2,20.4,3,100,16.8,65.6,17.7,1.7,-1.2,-2.4,-6.4,13.8,9.3,-2.4,-15.2,-8,25,12.3,3.2,-18,-4.7,52.3,105
