Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Additional province code,Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (2001 Counts),Broad Age Groups: 0 to 14 (2001 Counts),Broad Age Groups: 15 to 64 (2001 Counts),Broad Age Groups: 65 years and over (2001 Counts),Broad Age Groups: 85 years and over (2001 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (% Distribution 2001),Broad Age Groups: 0 to 14 (% Distribution 2001) ,Broad Age Groups: 15 to 64 (% Distribution 2001),Broad Age Groups: 65 years and over (% Distribution 2001),Broad Age Groups: 85 years and over (% Distribution 2001),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016),Total (Percent Change 2001 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2001 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2001 to 2016),Broad Age Groups: 65 years and over (Percent Change 2001 to 2016),Broad Age Groups: 85 years and over (Percent Change 2001 to 2016)
210,Kentville,CA,Nova Scotia,12, ,3.3,00000,Both sexes,26220,3995,16850,5380,575,26360,4210,17575,4575,545,25965,4490,17510,3970,500,25170,4800,16895,3480,420,100,15.2,64.3,20.5,2.2,100,16,66.7,17.4,2.1,100,17.3,67.4,15.3,1.9,100,19.1,67.1,13.8,1.7,-0.5,-5.1,-4.1,17.6,5.5,1,-11,-3.8,35.5,15,4.2,-16.8,-0.3,54.6,36.9
210,Kentville,CA,Nova Scotia,12, ,3.3,00000,Male,12595,2025,8110,2460,185,12650,2170,8455,2025,180,12475,2295,8415,1760,160,12175,2445,8245,1485,120,100,16.1,64.4,19.5,1.5,100,17.2,66.8,16,1.4,100,18.4,67.5,14.1,1.3,100,20.1,67.7,12.2,1,-0.4,-6.7,-4.1,21.5,2.8,1,-11.8,-3.6,39.8,15.6,3.4,-17.2,-1.6,65.7,54.2
210,Kentville,CA,Nova Scotia,12, ,3.3,00000,Female,13630,1970,8735,2925,390,13705,2040,9120,2545,360,13495,2190,9095,2210,340,13000,2355,8650,1995,300,100,14.5,64.1,21.5,2.9,100,14.9,66.5,18.6,2.6,100,16.2,67.4,16.4,2.5,100,18.1,66.5,15.3,2.3,-0.5,-3.4,-4.2,14.9,8.3,1,-10,-4,32.4,14.7,4.8,-16.3,1,46.6,30
215,Truro,CA,Nova Scotia,12, ,3.8,00000,Both sexes,45755,6965,29055,9735,1255,45890,7265,30495,8130,1060,45080,7550,30245,7285,1025,44275,8295,29495,6480,805,100,15.2,63.5,21.3,2.7,100,15.8,66.5,17.7,2.3,100,16.7,67.1,16.2,2.3,100,18.7,66.6,14.6,1.8,-0.3,-4.1,-4.7,19.7,18.4,1.5,-7.7,-3.9,33.6,22.4,3.3,-16,-1.5,50.2,55.9
215,Truro,CA,Nova Scotia,12, ,3.8,00000,Male,21980,3505,14060,4420,400,22120,3740,14765,3615,310,21705,3860,14730,3110,300,21520,4310,14425,2785,265,100,15.9,64,20.1,1.8,100,16.9,66.7,16.3,1.4,100,17.8,67.9,14.3,1.4,100,20,67,12.9,1.2,-0.6,-6.3,-4.8,22.3,29,1.3,-9.2,-4.5,42.1,33.3,2.1,-18.7,-2.5,58.7,50.9
215,Truro,CA,Nova Scotia,12, ,3.8,00000,Female,23770,3465,14995,5315,850,23770,3520,15735,4515,745,23375,3690,15510,4170,725,22755,3990,15070,3695,540,100,14.6,63.1,22.4,3.6,100,14.8,66.2,19,3.1,100,15.8,66.4,17.8,3.1,100,17.5,66.2,16.2,2.4,0,-1.6,-4.7,17.7,14.1,1.7,-6.1,-3.3,27.5,17.2,4.5,-13.2,-0.5,43.8,57.4
220,New Glasgow,CA,Nova Scotia,12, ,4.0,00000,Both sexes,34485,5245,21760,7485,950,35810,5565,23790,6455,965,36285,5830,24480,5980,875,36735,6570,24360,5800,775,100,15.2,63.1,21.7,2.8,100,15.5,66.4,18,2.7,100,16.1,67.5,16.5,2.4,100,17.9,66.3,15.8,2.1,-3.7,-5.8,-8.5,16,-1.6,-5,-10,-11.1,25.2,8.6,-6.1,-20.2,-10.7,29.1,22.6
220,New Glasgow,CA,Nova Scotia,12, ,4.0,00000,Male,16580,2655,10575,3350,290,17235,2845,11585,2810,260,17350,2950,11955,2445,215,17610,3340,11970,2305,210,100,16,63.8,20.2,1.7,100,16.5,67.2,16.3,1.5,100,17,68.9,14.1,1.2,100,19,68,13.1,1.2,-3.8,-6.7,-8.7,19.2,11.5,-4.4,-10,-11.5,37,34.9,-5.8,-20.5,-11.7,45.3,38.1
220,New Glasgow,CA,Nova Scotia,12, ,4.0,00000,Female,17910,2585,11185,4140,660,18575,2720,12215,3640,705,18935,2880,12520,3540,660,19125,3230,12390,3500,565,100,14.4,62.5,23.1,3.7,100,14.6,65.8,19.6,3.8,100,15.2,66.1,18.7,3.5,100,16.9,64.8,18.3,3,-3.6,-5,-8.4,13.7,-6.4,-5.4,-10.2,-10.7,16.9,0,-6.4,-20,-9.7,18.3,16.8
225,Cape Breton,CA,Nova Scotia,12, ,3.9,00000,Both sexes,98725,13780,62400,22545,2735,101620,14715,67250,19650,2665,105930,16650,70490,18785,2510,109330,19695,72155,17485,2040,100,14,63.2,22.8,2.8,100,14.5,66.2,19.3,2.6,100,15.7,66.5,17.7,2.4,100,18,66,16,1.9,-2.8,-6.4,-7.2,14.7,2.6,-6.8,-17.2,-11.5,20,9,-9.7,-30,-13.5,28.9,34.1
