Geographic Code,Geographic Name,Global non-response rate,Data Quality Flag,Sex,Statistical area classification name,Total,Broad age groups: 0 to 14 years,Broad age groups: 15 to 64 years,Broad age groups: 65 years and over,Broad age groups: 85 years and over
61,Northwest Territories,7.5,00100,Female,   Outside CMA / CA,10795,2465,7335,995,85
61,Northwest Territories,7.5,00100,Female,      Strongly influenced,0,0,0,0,0
61,Northwest Territories,7.5,00100,Female,      Moderately / weak / not influenced,0,0,0,0,0
61,Northwest Territories,7.5,00100,Female,      Territories,10800,2470,7335,995,85
62,Nunavut,7.9,00100,Both sexes,Total,35940,11690,22890,1365,50
62,Nunavut,7.9,00100,Both sexes,   Within CMA / CA,0,0,0,0,0
62,Nunavut,7.9,00100,Both sexes,   Outside CMA / CA,35940,11690,22895,1365,55
62,Nunavut,7.9,00100,Both sexes,      Strongly influenced,0,0,0,0,0
62,Nunavut,7.9,00100,Both sexes,      Moderately / weak / not influenced,0,0,0,0,0
62,Nunavut,7.9,00100,Both sexes,      Territories,35945,11685,22895,1365,55
62,Nunavut,7.9,00100,Male,Total,18390,5980,11705,710,25
62,Nunavut,7.9,00100,Male,   Within CMA / CA,0,0,0,0,0
62,Nunavut,7.9,00100,Male,   Outside CMA / CA,18390,5975,11710,710,30
62,Nunavut,7.9,00100,Male,      Strongly influenced,0,0,0,0,0
62,Nunavut,7.9,00100,Male,      Moderately / weak / not influenced,0,0,0,0,0
62,Nunavut,7.9,00100,Male,      Territories,18390,5975,11705,710,30
62,Nunavut,7.9,00100,Female,Total,17555,5710,11190,655,25
62,Nunavut,7.9,00100,Female,   Within CMA / CA,0,0,0,0,0
62,Nunavut,7.9,00100,Female,   Outside CMA / CA,17555,5710,11185,650,30
62,Nunavut,7.9,00100,Female,      Strongly influenced,0,0,0,0,0
62,Nunavut,7.9,00100,Female,      Moderately / weak / not influenced,0,0,0,0,0
62,Nunavut,7.9,00100,Female,      Territories,17555,5710,11190,655,30



