"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))","Knowledge of official languages - Total (% change (2011 to 2016))","Knowledge of official languages - English only (% change (2011 to 2016))","Knowledge of official languages - French only (% change (2011 to 2016))","Knowledge of official languages - English and French (% change (2011 to 2016))","Knowledge of official languages - Neither English nor French (% change (2011 to 2016))","Knowledge of official languages - Total (% change (2006 to 2016))","Knowledge of official languages - English only (% change (2006 to 2016))","Knowledge of official languages - French only (% change (2006 to 2016))","Knowledge of official languages - English and French (% change (2006 to 2016))","Knowledge of official languages - Neither English nor French (% change (2006 to 2016))"
"61","Northwest Territories","7.5","00100","15 to 24","5700","5045","5","645","0","100","88.5","0.1","11.3","0","-14.6","-16.2","0","-1.5","","-14.9","-15.8","","-5.8","-100"
"61","Northwest Territories","7.5","00100","15 to 19","2660","2300","0","355","0","100","86.5","0","13.3","0","-21","-23.6","","1.4","","-25.3","-27.4","","-6.6","-100"
"61","Northwest Territories","7.5","00100","20 to 24","3045","2740","5","295","0","100","90","0.2","9.7","0","-8","-8.8","","-4.8","","-2.7","-3","","0","-100"
"61","Northwest Territories","7.5","00100","25 to 44","12830","11300","10","1500","20","100","88.1","0.1","11.7","0.2","1.6","-0.2","100","17.2","33.3","-2.7","-5.3","-50","23","-33.3"
"61","Northwest Territories","7.5","00100","45 to 64","10925","10030","10","835","45","100","91.8","0.1","7.6","0.4","4.2","4.4","100","-0.6","28.6","15.6","17.4","0","-0.6","0"
"61","Northwest Territories","7.5","00100","65 and over","3080","2780","0","185","115","100","90.3","0","6","3.7","36.3","42.2","","19.4","-20.7","70.6","95.1","","5.7","-42.5"
"61","Northwest Territories","7.5","00100","65 to 74","2200","2030","0","145","25","100","92.3","0","6.6","1.1","43.3","47.6","-100","45","-54.5","88","104","","31.8","-61.5"
"61","Northwest Territories","7.5","00100","75 and over","880","755","0","40","85","100","85.8","0","4.5","9.7","22.2","29.1","","-27.3","0","38.6","77.6","","-42.9","-37"
"62","Nunavut","7.9","00100","Total","35690","32065","55","1525","2045","100","89.8","0.2","4.3","5.7","12.4","15.9","37.5","27.1","-28.5","21.7","24.1","175","30.9","-11.3"
"62","Nunavut","7.9","00100","0 to 14","11670","10095","30","245","1300","100","86.5","0.3","2.1","11.1","12.1","19.5","100","75","-28.2","16.9","17.5","200","69","4.8"
"62","Nunavut","7.9","00100","0 to 4","4155","3265","20","65","800","100","78.6","0.5","1.6","19.3","4.7","18.9","100","85.7","-32.2","21.5","24.9","100","85.7","3.9"
"62","Nunavut","7.9","00100","5 to 9","4105","3625","10","95","375","100","88.3","0.2","2.3","9.1","23.1","29.2","","72.7","-21.1","24","25.2","","72.7","2.7"
"62","Nunavut","7.9","00100","10 to 14","3415","3200","5","85","125","100","93.7","0.1","2.5","3.7","10","10.3","","70","-19.4","5.1","3.6","","54.5","13.6"
"62","Nunavut","7.9","00100","15 to 24","6145","5940","0","135","70","100","96.7","0","2.2","1.1","2.9","3.3","-100","8","-22.2","9.9","10.6","","0","-12.5"
"62","Nunavut","7.9","00100","15 to 19","3125","3035","0","50","40","100","97.1","0","1.6","1.3","2.6","3.4","","0","-33.3","-0.8","-0.2","","-9.1","-27.3"
"62","Nunavut","7.9","00100","20 to 24","3015","2905","0","80","25","100","96.4","0","2.7","0.8","3.1","3","","6.7","-28.6","23.6","24.4","","-5.9","-16.7"
"62","Nunavut","7.9","00100","25 to 44","10305","9555","20","665","65","100","92.7","0.2","6.5","0.6","14.2","13.8","100","27.9","-31.6","20","20","100","31.7","-43.5"
"62","Nunavut","7.9","00100","45 to 64","6245","5655","5","415","170","100","90.6","0.1","6.6","2.7","17.3","22.1","-50","7.8","-43.3","42.9","57.5","","18.6","-59.5"
"62","Nunavut","7.9","00100","65 and over","1330","820","0","70","440","100","61.7","0","5.3","33.1","27.9","84.3","","100","-22.1","67.3","156.3","","133.3","-1.1"
"62","Nunavut","7.9","00100","65 to 74","990","695","0","60","235","100","70.2","0","6.1","23.7","31.1","90.4","","140","-34.7","70.7","189.6","","300","-26.6"
"62","Nunavut","7.9","00100","75 and over","345","125","0","10","205","100","36.2","0","2.9","59.4","19","56.3","","100","0","60.5","66.7","","-33.3","64"

