"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","75 and over","1150","1140","0","10","0","0","0","0","100","99.1","0","0.9","0","0","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","Total","13060","12785","60","165","15","25","0","0","100","97.9","0.5","1.3","0.1","0.2","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","0 to 14","2170","2135","5","10","5","15","0","0","100","98.4","0.2","0.5","0.2","0.7","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","0 to 4","635","620","5","0","5","5","0","0","100","97.6","0.8","0","0.8","0.8","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","5 to 9","740","735","0","5","0","5","0","0","100","99.3","0","0.7","0","0.7","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","10 to 14","795","785","5","5","0","0","0","0","100","98.7","0.6","0.6","0","0","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","15 to 24","1395","1360","5","20","5","5","0","0","100","97.5","0.4","1.4","0.4","0.4","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","15 to 19","765","755","5","10","0","0","0","0","100","98.7","0.7","1.3","0","0","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","20 to 24","625","605","5","10","0","5","0","0","100","96.8","0.8","1.6","0","0.8","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","25 to 44","3295","3180","25","80","5","5","0","0","100","96.5","0.8","2.4","0.2","0.2","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","45 to 64","3955","3890","15","45","0","5","0","0","100","98.4","0.4","1.1","0","0.1","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","65 and over","2250","2225","10","10","0","5","0","0","100","98.9","0.4","0.4","0","0.2","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","65 to 74","1355","1340","5","5","0","5","0","0","100","98.9","0.4","0.4","0","0.4","0","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","75 and over","890","880","5","5","0","5","0","0","100","98.9","0.6","0.6","0","0.6","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","Total","31530","31025","105","325","30","40","0","0","100","98.4","0.3","1","0.1","0.1","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","0 to 14","4360","4300","15","30","5","10","0","0","100","98.6","0.3","0.7","0.1","0.2","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","0 to 4","1335","1315","0","10","0","10","0","0","100","98.5","0","0.7","0","0.7","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","5 to 9","1465","1440","10","10","0","5","0","0","100","98.3","0.7","0.7","0","0.3","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","10 to 14","1565","1545","5","10","0","0","0","0","100","98.7","0.3","0.6","0","0","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","15 to 24","3535","3470","15","40","5","5","0","0","100","98.2","0.4","1.1","0.1","0.1","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","15 to 19","1705","1675","5","20","5","5","0","0","100","98.2","0.3","1.2","0.3","0.3","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","20 to 24","1830","1795","10","20","5","5","0","0","100","98.1","0.5","1.1","0.3","0.3","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","25 to 44","7105","6950","25","110","10","10","0","0","100","97.8","0.4","1.5","0.1","0.1","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","45 to 64","10085","9940","40","90","5","10","0","0","100","98.6","0.4","0.9","0","0.1","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","65 and over","6440","6360","15","60","0","5","0","0","100","98.8","0.2","0.9","0","0.1","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","65 to 74","3965","3910","5","40","0","5","0","0","100","98.6","0.1","1","0","0.1","0","0"
"015","Corner Brook","CA","Newfoundland and Labrador","10"," ","4.7","00000","75 and over","2480","2450","10","25","0","0","0","0","100","98.8","0.4","1","0","0","0","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","Total","68265","61035","1315","5340","220","310","25","20","100","89.4","1.9","7.8","0.3","0.5","0","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","0 to 14","11315","10030","115","970","70","110","5","10","100","88.6","1","8.6","0.6","1","0","0.1"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","0 to 4","3555","3215","30","255","20","30","5","0","100","90.4","0.8","7.2","0.6","0.8","0.1","0"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","5 to 9","4050","3565","45","365","25","50","0","5","100","88","1.1","9","0.6","1.2","0","0.1"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","10 to 14","3705","3250","50","350","25","30","0","5","100","87.7","1.3","9.4","0.7","0.8","0","0.1"
"105","Charlottetown","CA","Prince Edward Island","11"," ","4.2","00000","15 to 24","8830","7770","125","840","45","50","0","0","100","88","1.4","9.5","0.5","0.6","0","0"
